journal_entry_id,posting_date,fiscal_year,prepared_by,description
100709140.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709141.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709142.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709143.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709144.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709145.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709146.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709147.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709148.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709149.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709150.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709151.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709152.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709153.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709154.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709155.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709156.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709157.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709158.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709159.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709160.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709161.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709162.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709163.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709164.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709165.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709166.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709167.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709168.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709169.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709170.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709171.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
